#{"t_start": 1786754468.8206692, "env_id": "None"}
r,l,t
-81.792291,100,60.730793
-46.027758,100,60.763193
-57.839423,100,60.792066
-53.887238,100,60.819613
-47.74611,100,60.856638
-44.576434,100,60.884269
-85.207006,100,60.916464
-57.099476,100,60.946861
-50.480545,100,60.976905
-3.03308,28,60.985805
-89.949695,100,61.015747
-89.585998,100,61.048672
-51.816047,100,61.079491
-77.572036,100,61.110709
-59.35995,100,61.140733
-47.061279,100,61.16679
-58.636856,100,61.788587
-77.597208,100,61.819013
-21.568648,36,61.838881
-64.447485,100,61.874738
-56.296579,100,61.907956
-45.218297,100,61.941036
-70.300713,100,61.97194
-50.126047,100,62.007293
-64.130842,100,62.038395
-9.649137,25,62.046388
-76.728124,100,62.077554
-49.468045,100,62.106254
-62.408058,100,62.137183
-47.653056,100,62.167236
-57.801675,100,62.200587
-61.486119,100,62.229037
-44.664603,100,62.263859
-70.773825,100,62.291449
-66.389644,100,62.326196
-82.480663,100,62.356581
-52.64799,100,62.388693
-48.297152,100,62.419567
-47.646703,100,63.059807
-45.489969,100,63.093773
-45.72972,100,63.126658
-51.338278,100,63.161665
-44.26061,100,63.197612
-52.661044,100,63.228866
-46.956328,100,63.263562
-40.242249,100,63.291273
-48.808559,100,63.319095
-59.469489,100,63.354091
-58.202137,100,63.381842
-43.141703,100,63.409641
-47.344359,100,63.447772
-52.704473,100,63.478933
-78.27169,100,63.512435
-66.272647,100,63.541887
-55.895153,100,63.576264
-80.516901,100,63.60958
-62.856105,100,63.638598
-55.034093,100,63.666699
-42.601195,100,63.702956
-62.763577,100,64.291421
-64.296676,100,64.330106
-48.23953,100,64.36124
-77.675115,100,64.399009
-43.509622,100,64.430274
-10.197826,21,64.437353
-13.479811,44,64.456634
-70.268543,100,64.485689
-72.252718,100,64.513778
-46.571307,100,64.541621
-67.284485,100,64.569264
-60.343782,100,64.605671
-50.329045,100,64.633747
-45.375727,100,64.666481
-49.33739,100,64.699774
-42.076627,100,64.729013
-42.194324,100,64.763611
-12.842799,36,64.770595
-47.151271,100,64.807061
-61.641996,100,64.839704
-62.197015,100,64.867909
-43.628855,100,64.903396
